,age,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,event
age,0.9999247076482498,0.01084056994888423,0.046137009917711524,0.08413618287317678,0.0975543089932887,0.10555130499845097,0.11306506258823369,0.11587069963539402,0.11690917969158639,0.10956600669667474,0.14233611219894823,0.12415436993134334,0.1279292126689429,0.05579603665926085,0.026866173520258194,0.06732683085477918,0.09490986989737273,0.09051551197804215,0.06842447935928662,0.07762467824482898,0.07518499996331668,0.10271905251899122,0.07920524917027341,0.08202792130799834,0.11695911074870056,0.09676292593082876,0.09622544804151083,0.1015357195625723,0.06674070344615786,0.08215809493411151,0.05959879694026982,0.03434196126296363
state,0.01084056994888423,0.7001515612911311,0.03621574244757515,0.06799202917197966,0.07744679917623584,0.08244443423885313,0.1185600719941324,0.09982725335284347,0.1308134115515034,0.08990815930601866,0.13466356139435234,0.11320288860239945,0.094948107646053,8.128919635572634e-07,0.00946108102967291,0.05044061771281042,0.08485329283906237,0.08309526515058994,0.09030529575401154,0.06307823035268434,0.059766285386992336,0.07830852786849746,0.07556453865085315,0.09215843810906164,0.07162327593809249,0.061934345726312234,0.055969034132860376,0.06696430939440115,0.06396967385680177,0.04886410295992125,0.03851070502409208,0.007834492037435666
edss-1,0.046137009917711524,0.03621574244757515,0.996802781974424,0.1008005201142594,0.11528708010288345,0.11268365003197604,0.14703708149014555,0.13868653416385668,0.1390999354768045,0.11860771052044226,0.17424313420248128,0.12698742511778666,0.15486864908075929,0.023111714045640164,0.01965459728765461,0.08263571484453024,0.10800332635828729,0.11226116614753398,0.07980765340292964,0.09254453528054361,0.09781683042679326,0.11748371611718857,0.08172849965385623,0.10254622460973284,0.10854660864027604,0.10074393223563417,0.09355499080254988,0.1208932826725052,0.09904668470099981,0.07721914685661017,0.06586418297620707,0.007133114422012508
blood-1,0.08413618287317678,0.06799202917197966,0.1008005201142594,0.9999986961359045,0.4160234513679225,0.7804255105474334,0.13504334044114039,0.14807118671666422,0.15984220151597645,0.1592288798793377,0.14697853295243,0.1450804884622834,0.15790765784741617,0.13200225980721628,0.0724953320654507,0.07525031457734611,0.10958328060833492,0.11464726639965432,0.08462329454334934,0.11348577659859391,0.09666555341334722,0.1306904493613259,0.08860137491770781,0.12652903933173681,0.11198487249008462,0.0798426787081361,0.0809357075192334,0.08745979660426464,0.08339285472133338,0.08912433280297433,0.09326213587063743,0.06706211638227547
blood-2,0.0975543089932887,0.07744679917623584,0.11528708010288345,0.4160234513679225,0.9999999478454509,0.2566299895108029,0.15450759113259044,0.15201504033900554,0.13121829805060453,0.15293682024667005,0.15431795834779752,0.1482649523861753,0.1441881539749452,0.15535670207433458,0.09018350769126596,0.09816399645039244,0.09788756812874974,0.17648984690410227,0.11201054511157975,0.14473951174197724,0.10111906947814842,0.2586441518482606,0.10485695652478592,0.2084416505721184,0.20425714329319591,0.10375015108632979,0.10055800013110389,0.11520101802695101,0.10529154912562501,0.11021155780386781,0.11012417025354806,0.08612566681037326
blood-3,0.10555130499845097,0.08244443423885313,0.11268365003197604,0.7804255105474334,0.2566299895108029,0.9999999478454509,0.16020090305056253,0.1429788285157469,0.14703708705981314,0.16009116308982974,0.17532595228360018,0.16155950855975673,0.1487575250156027,0.15587329977636136,0.08990158225477972,0.10569254676610881,0.1112931829821297,0.11042570343306117,0.09692393028523141,0.11832539425732425,0.10115974347763244,0.11619940293386524,0.10553902939669726,0.10971859401927787,0.10914044482874864,0.09399348708522945,0.10340452389370257,0.10725828771959106,0.12090537509152802,0.10441914797436373,0.11588156547577531,0.08925467645040677
thyroid-1,0.11306506258823369,0.1185600719941324,0.14703708149014555,0.13504334044114039,0.15450759113259044,0.16020090305056253,0.9999755212234329,0.14066760416495844,0.47835963797219905,0.16861256993401047,0.19423562275618897,0.14080086031535313,0.11998717654990514,0.09449613423131595,0.1125266121412142,0.16562682524268654,0.21239401545446296,0.17567715606188547,0.212051545736576,0.197950920568541,0.14333554507631982,0.1870877744100349,0.19843946005595778,0.1891169525367427,0.17391933789663572,0.14009568454815155,0.20406358934568397,0.18178488677719482,0.18248141293983866,0.16018167013369516,0.17254584409666546,0.0912193253287924
thyroid-2,0.11587069963539402,0.09982725335284347,0.13868653416385668,0.14807118671666422,0.15201504033900554,0.1429788285157469,0.14066760416495844,0.9999928152532447,0.13575894066146418,0.2169974758490249,0.14644346715811435,0.15065725248530676,0.12690988572541778,0.1262070637419562,0.11930214829340963,0.13225305993675263,0.1639692637491652,0.18328166372426663,0.1842356287086698,0.19397592336312527,0.15332289480355793,0.15834946164658945,0.17584805174075374,0.17767726177548182,0.16894007737717515,0.1461770390288844,0.14223086094913354,0.20154672553886113,0.167399401268895,0.1447469067321899,0.17954007636868605,0.11188802256007915
thyroid-3,0.11690917969158639,0.1308134115515034,0.1390999354768045,0.15984220151597645,0.13121829805060453,0.14703708705981314,0.47835963797219905,0.13575894066146418,0.9999972801684457,0.2653598515133018,0.17693726786810404,0.1415654728123794,0.12119682713788843,0.12659076626099033,0.14464735827287706,0.16508883863338525,0.19478142006678945,0.2212712962689066,0.26160387533019697,0.15748972011352666,0.15401936538625255,0.1582758197512504,0.17900015036276587,0.16296095338334413,0.18199972665498254,0.16272277686994305,0.1563847698483176,0.16212603889851449,0.1685693872737676,0.16303849699961134,0.17396775204410755,0.1127473946969157
thyroid-4,0.10956600669667474,0.08990815930601866,0.11860771052044226,0.1592288798793377,0.15293682024667005,0.16009116308982974,0.16861256993401047,0.2169974758490249,0.2653598515133018,1.0000000000000002,0.14584763657525504,0.14755774322128123,0.12665510468062652,0.1380135546033024,0.12648248233721907,0.13550858130747356,0.18100887122826811,0.16130300518270474,0.1695635529921789,0.1459196700703031,0.15035628644962776,0.15601104869760848,0.1550611981659492,0.1655190138370374,0.1821572322718137,0.15555042590454848,0.14045702712036706,0.16036311412139703,0.1433906637750695,0.15370687114128861,0.12527503179434915,0.12195274845999547
thyroid-5,0.14233611219894823,0.13466356139435234,0.17424313420248128,0.14697853295243,0.15431795834779752,0.17532595228360018,0.19423562275618897,0.14644346715811435,0.17693726786810404,0.14584763657525504,0.9999999999999996,0.1305469919675027,0.13783174496205078,0.15165476222708008,0.15005520999355482,0.163205769836821,0.1999477021734956,0.15807573639241695,0.16721568009297805,0.17743969714776003,0.17178075306422136,0.19187640442814055,0.1927377532358665,0.1981415664349633,0.1950085529450303,0.18763384052979068,0.208360918703104,0.17840282612594288,0.17808023299735107,0.19984661216879343,0.19591132697879912,0.15774183065568742
thyroid-6,0.12415436993134334,0.11320288860239945,0.12698742511778666,0.1450804884622834,0.1482649523861753,0.16155950855975673,0.14080086031535313,0.15065725248530676,0.1415654728123794,0.14755774322128123,0.1305469919675027,1.0000000000000002,0.35462321958583215,0.13574080089816834,0.13596019880862056,0.1664320282134223,0.19609077032912264,0.15821093047356866,0.16570760992029462,0.1643995983079146,0.15865640711333326,0.18280385167032118,0.14931544078527875,0.17335012574530664,0.1746813132388067,0.18256986149836654,0.14263803403558453,0.1994715050302555,0.14846349703475437,0.14219483315851836,0.1730358473745897,0.11673792341148358
thyroid-7,0.1279292126689429,0.094948107646053,0.15486864908075929,0.15790765784741617,0.1441881539749452,0.1487575250156027,0.11998717654990514,0.12690988572541778,0.12119682713788843,0.12665510468062652,0.13783174496205078,0.35462321958583215,0.9999999999999994,0.15237562778729344,0.13041392573214816,0.15118618012919224,0.1552807894646144,0.1503353672320123,0.164817249869461,0.1846803228268294,0.15700598863853096,0.18258925258851344,0.1728036765984509,0.16859659065678378,0.18259328612446513,0.15833731945763999,0.17595919319998854,0.2023508392820723,0.14854526103079363,0.20914402047317074,0.1736854295557636,0.11624171810207581
ana18-1,0.05579603665926085,8.128919635572634e-07,0.023111714045640164,0.13200225980721628,0.15535670207433458,0.15587329977636136,0.09449613423131595,0.1262070637419562,0.12659076626099033,0.1380135546033024,0.15165476222708008,0.13574080089816834,0.15237562778729344,0.9867505994775723,0.007288965268037356,0.11717114680938712,0.1697070219278208,0.14314727392049062,0.1623219535700883,0.207344901017704,0.14476159457003823,0.15445335230870275,0.14523329003583477,0.1470480604800729,0.14955261940943199,0.1430661031451286,0.1307708555933017,0.283605425863389,0.1790624151591968,0.13636748025022538,0.10892611587645425,0.0038433019892583566
aqp4igg-1,0.026866173520258194,0.00946108102967291,0.01965459728765461,0.0724953320654507,0.09018350769126596,0.08990158225477972,0.1125266121412142,0.11930214829340963,0.14464735827287706,0.12648248233721907,0.15005520999355482,0.13596019880862056,0.13041392573214816,0.007288965268037356,0.9962075732454909,0.06781062272360154,0.09306922928055501,0.08237967851564212,0.07440771636664564,0.07953931211734469,0.06303113536193042,0.09928083608473447,0.07399583629490489,0.10619424839385462,0.09978236509105463,0.06631859827618171,0.07964945702460252,0.0880376764166362,0.07582587826420824,0.07950204220575117,0.04831137649067661,0.006031323082416172
vitd-1,0.06732683085477918,0.05044061771281042,0.08263571484453024,0.07525031457734611,0.09816399645039244,0.10569254676610881,0.16562682524268654,0.13225305993675263,0.16508883863338525,0.13550858130747356,0.163205769836821,0.1664320282134223,0.15118618012919224,0.11717114680938712,0.06781062272360154,0.9999910102456182,0.10881994861317021,0.09985279750578202,0.07649932151781189,0.08415206930703156,0.07395383907839324,0.11086474275194617,0.08463013867791948,0.09528866206068022,0.1017062750810111,0.08211996730009764,0.09664359157897356,0.11009926267976981,0.07901115810846697,0.08889256097673431,0.06792581511358116,0.06312100157521008
vitd-2,0.09490986989737273,0.08485329283906237,0.10800332635828729,0.10958328060833492,0.09788756812874974,0.1112931829821297,0.21239401545446296,0.1639692637491652,0.19478142006678945,0.18100887122826811,0.1999477021734956,0.19609077032912264,0.1552807894646144,0.1697070219278208,0.09306922928055501,0.10881994861317021,0.9999998526179692,0.11188021042940496,0.10093394100314977,0.10154862971285336,0.10576913399343942,0.10161581905957523,0.10267796172850278,0.11049022646380233,0.10700651551245022,0.11194078214249001,0.1053876221888794,0.10785806969069522,0.1148875153143205,0.10456950545271458,0.10423605817920625,0.10000959708598317
t_b-1,0.09051551197804215,0.08309526515058994,0.11226116614753398,0.11464726639965432,0.17648984690410227,0.11042570343306117,0.17567715606188547,0.18328166372426663,0.2212712962689066,0.16130300518270474,0.15807573639241695,0.15821093047356866,0.1503353672320123,0.14314727392049062,0.08237967851564212,0.09985279750578202,0.11188021042940496,0.9999995552926539,0.5031742366607076,0.0968176145754832,0.12752377478162652,0.24927994614201443,0.1443089158734574,0.278773205384471,0.14446461248842635,0.13791424380068076,0.08747338131693899,0.09115333742509857,0.08196055390146814,0.08243176855466214,0.08409831280150307,0.08396485468760738
t_b-2,0.06842447935928662,0.09030529575401154,0.07980765340292964,0.08462329454334934,0.11201054511157975,0.09692393028523141,0.212051545736576,0.1842356287086698,0.26160387533019697,0.1695635529921789,0.16721568009297805,0.16570760992029462,0.164817249869461,0.1623219535700883,0.07440771636664564,0.07649932151781189,0.10093394100314977,0.5031742366607076,0.9999957709300915,0.09308685420317002,0.10522024625486717,0.10509140531328616,0.18769892474331903,0.1131690231778454,0.09334758760010338,0.1249962238271799,0.07954432608885365,0.0870534525579736,0.07818246247839636,0.07088070407209449,0.06418806942262853,0.059433276753306674
t_b-3,0.07762467824482898,0.06307823035268434,0.09254453528054361,0.11348577659859391,0.14473951174197724,0.11832539425732425,0.197950920568541,0.19397592336312527,0.15748972011352666,0.1459196700703031,0.17743969714776003,0.1643995983079146,0.1846803228268294,0.207344901017704,0.07953931211734469,0.08415206930703156,0.10154862971285336,0.0968176145754832,0.09308685420317002,1.0000000000000002,0.5013408032501222,0.13734640059845524,0.25793122189373197,0.1146274457632557,0.11664738376578505,0.11057934983673463,0.12795931142032702,0.10260526363674866,0.0719888406227179,0.07492890125068828,0.07782348458049475,0.08544343643830392
t_b-4,0.07518499996331668,0.059766285386992336,0.09781683042679326,0.09666555341334722,0.10111906947814842,0.10115974347763244,0.14333554507631982,0.15332289480355793,0.15401936538625255,0.15035628644962776,0.17178075306422136,0.15865640711333326,0.15700598863853096,0.14476159457003823,0.06303113536193042,0.07395383907839324,0.10576913399343942,0.12752377478162652,0.10522024625486717,0.5013408032501222,0.9999968854288434,0.12932845701213513,0.3287171840044999,0.13171920414628868,0.1034805961129286,0.08280930090110855,0.15523508430931565,0.08849137298201623,0.07486017564415538,0.06794995905613353,0.05685342100837879,0.06929109338007448
t_b-5,0.10271905251899122,0.07830852786849746,0.11748371611718857,0.1306904493613259,0.2586441518482606,0.11619940293386524,0.1870877744100349,0.15834946164658945,0.1582758197512504,0.15601104869760848,0.19187640442814055,0.18280385167032118,0.18258925258851344,0.15445335230870275,0.09928083608473447,0.11086474275194617,0.10161581905957523,0.24927994614201443,0.10509140531328616,0.13734640059845524,0.12932845701213513,1.0000000000000002,0.12523967380896428,0.6264841306694598,0.5265296719709845,0.0983515373805024,0.13737023078309873,0.12640860224773023,0.10217674434209516,0.10792736707793238,0.10067822841958718,0.09470703687923834
t_b-6,0.07920524917027341,0.07556453865085315,0.08172849965385623,0.08860137491770781,0.10485695652478592,0.10553902939669726,0.19843946005595778,0.17584805174075374,0.17900015036276587,0.1550611981659492,0.1927377532358665,0.14931544078527875,0.1728036765984509,0.14523329003583477,0.07399583629490489,0.08463013867791948,0.10267796172850278,0.1443089158734574,0.18769892474331903,0.25793122189373197,0.3287171840044999,0.12523967380896428,0.999999530103751,0.11255957751427635,0.11316141389127038,0.18203145818669147,0.15623277645045103,0.09269187576031927,0.07885614129983001,0.06783860168886686,0.07436372163807749,0.07101982815053644
t_b-7,0.08202792130799834,0.09215843810906164,0.10254622460973284,0.12652903933173681,0.2084416505721184,0.10971859401927787,0.1891169525367427,0.17767726177548182,0.16296095338334413,0.1655190138370374,0.1981415664349633,0.17335012574530664,0.16859659065678378,0.1470480604800729,0.10619424839385462,0.09528866206068022,0.11049022646380233,0.278773205384471,0.1131690231778454,0.1146274457632557,0.13171920414628868,0.6264841306694598,0.11255957751427635,1.0000000000000002,0.27448676863166244,0.14062355905539467,0.2560795796275894,0.12325301551880749,0.09935019830862044,0.09334094608937507,0.08518028931697741,0.09048144280068575
t_b-8,0.11695911074870056,0.07162327593809249,0.10854660864027604,0.11198487249008462,0.20425714329319591,0.10914044482874864,0.17391933789663572,0.16894007737717515,0.18199972665498254,0.1821572322718137,0.1950085529450303,0.1746813132388067,0.18259328612446513,0.14955261940943199,0.09978236509105463,0.1017062750810111,0.10700651551245022,0.14446461248842635,0.09334758760010338,0.11664738376578505,0.1034805961129286,0.5265296719709845,0.11316141389127038,0.27448676863166244,0.9999995552926542,0.18732532520163928,0.09152818377505166,0.1058648302598118,0.09443794987337276,0.09015690853486993,0.09245883497895378,0.08499824498734784
t_b-9,0.09676292593082876,0.061934345726312234,0.10074393223563417,0.0798426787081361,0.10375015108632979,0.09399348708522945,0.14009568454815155,0.1461770390288844,0.16272277686994305,0.15555042590454848,0.18763384052979068,0.18256986149836654,0.15833731945763999,0.1430661031451286,0.06631859827618171,0.08211996730009764,0.11194078214249001,0.13791424380068076,0.1249962238271799,0.11057934983673463,0.08280930090110855,0.0983515373805024,0.18203145818669147,0.14062355905539467,0.18732532520163928,1.0000000000000002,0.2144009349736526,0.08753393758765543,0.08397431110253915,0.08427650242919069,0.06840835465434586,0.06962293987024494
t_b-10,0.09622544804151083,0.055969034132860376,0.09355499080254988,0.0809357075192334,0.10055800013110389,0.10340452389370257,0.20406358934568397,0.14223086094913354,0.1563847698483176,0.14045702712036706,0.208360918703104,0.14263803403558453,0.17595919319998854,0.1307708555933017,0.07964945702460252,0.09664359157897356,0.1053876221888794,0.08747338131693899,0.07954432608885365,0.12795931142032702,0.15523508430931565,0.13737023078309873,0.15623277645045103,0.2560795796275894,0.09152818377505166,0.2144009349736526,0.9999926240825472,0.09264627509363518,0.07970888986932469,0.07440978729048547,0.08554167627474824,0.06299199332983899
ig3-1,0.1015357195625723,0.06696430939440115,0.1208932826725052,0.08745979660426464,0.11520101802695101,0.10725828771959106,0.18178488677719482,0.20154672553886113,0.16212603889851449,0.16036311412139703,0.17840282612594288,0.1994715050302555,0.2023508392820723,0.283605425863389,0.0880376764166362,0.11009926267976981,0.10785806969069522,0.09115333742509857,0.0870534525579736,0.10260526363674866,0.08849137298201623,0.12640860224773023,0.09269187576031927,0.12325301551880749,0.1058648302598118,0.08753393758765543,0.09264627509363518,0.9999996659387993,0.17922334596520775,0.13775506342310914,0.09184883919860598,0.09235413135481725
ig3-2,0.06674070344615786,0.06396967385680177,0.09904668470099981,0.08339285472133338,0.10529154912562501,0.12090537509152802,0.18248141293983866,0.167399401268895,0.1685693872737676,0.1433906637750695,0.17808023299735107,0.14846349703475437,0.14854526103079363,0.1790624151591968,0.07582587826420824,0.07901115810846697,0.1148875153143205,0.08196055390146814,0.07818246247839636,0.0719888406227179,0.07486017564415538,0.10217674434209516,0.07885614129983001,0.09935019830862044,0.09443794987337276,0.08397431110253915,0.07970888986932469,0.17922334596520775,1.0000000000000002,0.0742072113471105,0.07704405326853098,0.06753651962915708
ig3-3,0.08215809493411151,0.04886410295992125,0.07721914685661017,0.08912433280297433,0.11021155780386781,0.10441914797436373,0.16018167013369516,0.1447469067321899,0.16303849699961134,0.15370687114128861,0.19984661216879343,0.14219483315851836,0.20914402047317074,0.13636748025022538,0.07950204220575117,0.08889256097673431,0.10456950545271458,0.08243176855466214,0.07088070407209449,0.07492890125068828,0.06794995905613353,0.10792736707793238,0.06783860168886686,0.09334094608937507,0.09015690853486993,0.08427650242919069,0.07440978729048547,0.13775506342310914,0.0742072113471105,0.9999974390175042,0.0659114710435149,0.07043146351011716
il_6-1,0.05959879694026982,0.03851070502409208,0.06586418297620707,0.09326213587063743,0.11012417025354806,0.11588156547577531,0.17254584409666546,0.17954007636868605,0.17396775204410755,0.12527503179434915,0.19591132697879912,0.1730358473745897,0.1736854295557636,0.10892611587645425,0.04831137649067661,0.06792581511358116,0.10423605817920625,0.08409831280150307,0.06418806942262853,0.07782348458049475,0.05685342100837879,0.10067822841958718,0.07436372163807749,0.08518028931697741,0.09245883497895378,0.06840835465434586,0.08554167627474824,0.09184883919860598,0.07704405326853098,0.0659114710435149,0.9999860257248077,0.044216710135382906
event,0.03434196126296363,0.007834492037435666,0.007133114422012508,0.06706211638227547,0.08612566681037326,0.08925467645040677,0.0912193253287924,0.11188802256007915,0.1127473946969157,0.12195274845999547,0.15774183065568742,0.11673792341148358,0.11624171810207581,0.0038433019892583566,0.006031323082416172,0.06312100157521008,0.10000959708598317,0.08396485468760738,0.059433276753306674,0.08544343643830392,0.06929109338007448,0.09470703687923834,0.07101982815053644,0.09048144280068575,0.08499824498734784,0.06962293987024494,0.06299199332983899,0.09235413135481725,0.06753651962915708,0.07043146351011716,0.044216710135382906,0.6486930132751778
