,pearson,spearman,kendall,mic,xgboost
edss-1,0.1960974879468151,0.188791841344501,0.1638945541416268,0.0362157424475751,0.0364367663860321
blood-1,0.1226013748902811,0.0982000837613567,0.0802450522864015,0.0679920291719796,0.0180977191776037
blood-2,0.0216643990689825,0.0121976462753052,0.0099613453991843,0.0774467991762358,0.0189293213188648
blood-3,0.1397315163457313,0.1100308539360521,0.0898575872481159,0.0824444342388531,0.0806609094142913
thyroid-1,-0.168994038827442,-0.2024603136988342,-0.1658409476108507,0.1185600719941324,0.0395116731524467
thyroid-2,0.0492207421673478,0.0644327636802437,0.0527415612308093,0.0998272533528434,0.0231118891388177
thyroid-3,-0.1839967859281214,-0.2101709771742102,-0.1720075510038665,0.1308134115515034,0.031642984598875
thyroid-4,0.0155914707373469,-0.0047054419928203,-0.0038550107326988,0.0899081593060186,0.0226278584450483
thyroid-5,-0.1297859769921282,-0.1530192994262481,-0.1250524555972931,0.1346635613943523,0.0280408523976802
thyroid-6,0.0618661648678346,0.0411079464532248,0.0342907653698036,0.1132028886023994,0.0507526993751525
thyroid-7,0.0502319481179792,0.0220013254397568,0.0180970274282238,0.094948107646053,0.0170885063707828
ana18-1,-0.0010616145438712,-0.0010616145438713,-0.0010616145438713,8.128919635572634e-07,0.0243230182677507
aqp4igg-1,0.0618315724028635,0.1011604992284511,0.0922952351051592,0.0094610810296729,0.0445057190954685
vitd-1,-0.0557691220709353,-0.0597242057596315,-0.0488743221381726,0.0504406177128104,0.0237141158431768
vitd-2,-0.0254970863833793,-0.0330321640233874,-0.0271780087708746,0.0848532928390623,0.0199761316180229
t_b-1,0.2202132790904364,0.1518355343931924,0.1241458984019467,0.0830952651505899,0.1223566532135009
t_b-2,0.2803806257939611,0.1989130118164283,0.1628769128714947,0.0903052957540115,0.0855806395411491
t_b-3,-0.0571484767829422,-0.0729786524628163,-0.0596697828867081,0.0630782303526843,0.0215560235083103
t_b-4,-0.0669412890579701,-0.0842405416966032,-0.0689602828238027,0.0597662853869923,0.0307516288012266
t_b-5,0.0141130924890121,-0.006435785902319,-0.0052570672706891,0.0783085278684974,0.0143857980147004
t_b-6,-0.1392590547313781,-0.1317497484403066,-0.1077788069449502,0.0755645386508531,0.0149166118353605
t_b-7,0.0383579387859863,0.0033407379589345,0.0027292498942493,0.0921584381090616,0.0179452095180749
t_b-8,-0.0295263957039847,-0.0335858008505532,-0.0274426954578501,0.0716232759380924,0.0289702359586954
t_b-9,-0.0873812871507577,-0.0962421754585774,-0.078734405303092,0.0619343457263122,0.0202889926731586
t_b-10,-0.0221710732400915,-0.0222291098991299,-0.0182312486191381,0.0559690341328603,0.0165941026061773
ig3-1,0.0748844836889736,0.0298769502319552,0.0244124277351674,0.0669643093944011,0.0195987746119499
ig3-2,0.0692552214799832,0.0761369523456019,0.0622977002201812,0.0639696738568017,0.0264450870454311
ig3-3,0.0688698104987513,0.0613061583222389,0.0502206072543603,0.0488641029599212,0.0186972636729478
il_6-1,0.0075265502992228,-0.0222959251523374,-0.019732120813467,0.038510705024092,0.0336966998875141
