,pearson,spearman,kendall,mic
age,0.1586688369506991,0.15231815408309302,0.12442473453029594,0.07339682948696087
state,0.2581089363596137,0.248022957121358,0.2164803801311295,0.05418926970584135
edss-1,0.0035375454668395067,0.006842025506667402,0.005666499264585128,0.09241327958382113
blood-1,0.17116221007163876,0.1367099299864767,0.11164351917347261,0.13869525228277294
blood-2,0.09450019304397302,0.09062766179983132,0.07400869836513303,0.13438415170611911
blood-3,0.14857841775283387,0.10964713314601159,0.0895404584774019,0.1469735224455481
aqp4igg-1,0.12806917240756163,0.14808662988404672,0.12138934666240957,0.10191482555741396
vitd-1,0.06502784932704737,0.0635111839267896,0.05190853478053733,0.20391937960502107
vitd-2,0.05866354910976024,0.05300798185013827,0.04331894835978868,0.22105101700585822
t_b-1,0.2653578216021169,0.18899262859133026,0.1545163014430268,0.2617816517984718
t_b-2,0.19161315798207004,0.1669080943232926,0.13647014109822944,0.2394289227015439
t_b-3,0.0643560275697111,0.02000243261025764,0.01635363941101336,0.2449396305494754
t_b-4,0.08306033157902046,0.06143762890552267,0.05023250541340228,0.23545287418065636
t_b-5,0.11487653261332299,0.08047686196711766,0.065789408202557,0.25868012815444597
t_b-6,0.04699701540193807,0.07280720032957398,0.05952270244800688,0.2641537674398539
t_b-7,0.11377479689756015,0.0795301543423826,0.06501626853918195,0.2606072085844244
t_b-8,0.07059200468606243,0.062200020620796936,0.05085000322814942,0.25809971705341284
t_b-9,0.03408884170219785,0.04899747932234447,0.04005829701030335,0.2616487628181854
t_b-10,0.03228103624519107,0.042591127628569404,0.034820235648218734,0.25403008307573344
ig3-1,0.05445870149485694,0.04016252804392327,0.03283964805842554,0.22786358740087967
ig3-2,0.03461227301300854,0.04986175687970825,0.040773767147522295,0.22079034228534433
ig3-3,0.051619714637150114,0.06546658198744054,0.05353755130306328,0.22149912019626206
il_6-1,0.08052770517574057,0.08056263167108549,0.06663879517177453,0.1407031114158136
